number_ of_syllables,number_of_pauses,rate_of_speech,articulation_rate,speaking_duration,original_duration,balance,f0_mean,f0_std,f0_median,f0_min,f0_max,f0_quantile25,f0_quan75,slug,streamUrl,type_id,type_name,socialTitle,recordedOn,language,presenterDisplayName,duration,canonicalUrl,viewedCount,tedcomPercentage,youtubePercentage,podcastsPercentage,tedappsPercentage,publishedAt,id,title
3084,84,4,4,749.8,792.1,0.9,175.39,47.21,170.1,66,421,144,200,michael_shermer_why_people_believe_weird_things,https://hls.ted.com/project_masters/1299/manifest.m3u8?intro_master_id=9294,1,TED Stage Talk,Why people believe weird things,2006-02-23,en,Michael Shermer,791,https://www.ted.com/talks/michael_shermer_why_people_believe_weird_things,8527548,0.411,0.48,0.001,0.108,2006-11-08T00:11:00Z,22,Why people believe weird things
4145,324,4,5,827.6,1033.8,0.8,225.42,50.79,217.3,70,424,193,251,amy_webb_how_i_hacked_online_dating,https://hls.ted.com/project_masters/1403/manifest.m3u8?intro_master_id=9294,1,TED Stage Talk,How I hacked online dating,2013-04-11,en,Amy Webb,1033,https://www.ted.com/talks/amy_webb_how_i_hacked_online_dating,8539049,0.282,0.529,0.052,0.137,2013-10-02T15:21:18Z,1833,How I hacked online dating
2771,349,3,5,582.7,943.1,0.6,220.49,41.83,215.0,71,421,192,244,leslie_morgan_steiner_why_domestic_violence_victims_don_t_leave,https://hls.ted.com/project_masters/2125/manifest.m3u8?intro_master_id=9294,2,TEDx Talk,Why domestic violence victims don't leave,2012-11-10,en,Leslie Morgan Steiner,942,https://www.ted.com/talks/leslie_morgan_steiner_why_domestic_violence_victims_don_t_leave,8524351,0.314,0.567,0.044,0.075,2013-01-25T16:06:00Z,1654,Why domestic violence victims don't leave
4981,300,4,5,1091.1,1247.8,0.9,119.22,36.34,109.7,71,419,99,127,elon_musk_the_mind_behind_tesla_spacex_solarcity,https://hls.ted.com/project_masters/345/manifest.m3u8?intro_master_id=9294,1,TED Stage Talk,"The mind behind Tesla, SpaceX, SolarCity ...",2013-02-28,en,Elon Musk,1247,https://www.ted.com/talks/elon_musk_the_mind_behind_tesla_spacex_solarcity,8524415,0.296,0.51,0.067,0.127,2013-03-19T14:57:42Z,1695,"The mind behind Tesla, SpaceX, SolarCity ..."
1609,94,4,5,344.4,395.0,0.9,167.6,38.25,160.8,69,399,140,188,tom_wujec_build_a_tower_build_a_team,https://hls.ted.com/project_masters/1429/manifest.m3u8?intro_master_id=9294,1,TED Stage Talk,"Build a tower, build a team",2010-02-14,en,Tom Wujec,394,https://www.ted.com/talks/tom_wujec_build_a_tower_build_a_team,8523098,0.639,0.321,0.009,0.031,2010-04-22T08:53:00Z,837,"Build a tower, build a team"
4431,427,3,4,1019.7,1280.4,0.8,137.83,38.44,129.5,73,399,113,152,linus_torvalds_the_mind_behind_linux,https://hls.ted.com/project_masters/7060/manifest.m3u8?intro_master_id=9294,1,TED Stage Talk,The mind behind Linux,2016-02-17,en,Linus Torvalds,1280,https://www.ted.com/talks/linus_torvalds_the_mind_behind_linux,8506216,0.08,0.758,0.105,0.057,2016-04-08T16:00:29Z,2464,The mind behind Linux
3873,283,3,4,900.8,1117.3,0.8,132.65,31.98,126.9,73,408,112,146,scott_galloway_how_the_us_is_destroying_young_people_s_future,https://hls.ted.com/project_masters/9213/manifest.m3u8?intro_master_id=9294,1,TED Stage Talk,How the US is destroying young people's future,2024-04-17,en,Scott Galloway,1117,https://www.ted.com/talks/scott_galloway_how_the_us_is_destroying_young_people_s_future,8483012,0.054,0.877,0.059,0.01,2024-05-02T15:00:42Z,129805,How the US is destroying young people's future
3860,453,3,5,855.1,1171.4,0.7,255.74,59.96,250.3,70,424,213,297,sherry_turkle_connected_but_alone,https://hls.ted.com/project_masters/1380/manifest.m3u8?intro_master_id=9294,1,TED Stage Talk,"Connected, but alone?",2012-02-29,en,Sherry Turkle,1171,https://www.ted.com/talks/sherry_turkle_connected_but_alone,8485003,0.616,0.251,0.02,0.113,2012-04-03T15:09:09Z,1409,"Connected, but alone?"
601,80,3,5,121.2,179.0,0.7,153.44,40.91,146.8,80,399,125,175,derek_sivers_keep_your_goals_to_yourself,https://hls.ted.com/project_masters/1315/manifest.m3u8?intro_master_id=9294,1,TED Stage Talk,Keep your goals to yourself,2010-07-15,en,Derek Sivers,178,https://www.ted.com/talks/derek_sivers_keep_your_goals_to_yourself,8437822,0.579,0.258,0.014,0.149,2010-09-02T08:47:00Z,947,Keep your goals to yourself
2517,239,4,5,530.1,688.0,0.8,218.76,51.94,208.6,71,423,184,244,julia_galef_why_you_think_you_re_right_even_if_you_re_wrong,https://hls.ted.com/project_masters/2650/manifest.m3u8?intro_master_id=9294,2,TEDx Talk,Why you think you're right -- even if you're wrong,2016-02-28,en,Julia Galef,687,https://www.ted.com/talks/julia_galef_why_you_think_you_re_right_even_if_you_re_wrong,8471661,0.254,0.265,0.289,0.192,2016-06-29T15:31:08Z,2537,Why you think you're right -- even if you're wrong
469,67,3,4,107.6,162.1,0.7,136.38,36.03,129.4,72,400,112,152,terry_moore_how_to_tie_your_shoes,https://hls.ted.com/project_masters/1149/manifest.m3u8?intro_master_id=9294,1,TED Stage Talk,How to tie your shoes,2005-02-02,en,Terry Moore,162,https://www.ted.com/talks/terry_moore_how_to_tie_your_shoes,8426832,0.562,0.37,0.005,0.063,2011-05-20T14:51:00Z,1150,How to tie your shoes
782,73,4,5,172.2,219.6,0.8,203.03,52.21,194.6,73,423,168,230,jessica_smith_mansa_musa_one_of_the_wealthiest_people_who_ever_lived,https://hls.ted.com/project_masters/4736/manifest.m3u8,3,TED-Ed Original,"Mansa Musa, one of the wealthiest people who ever lived",2015-05-18,en,Jessica Smith,219,https://www.ted.com/talks/jessica_smith_mansa_musa_one_of_the_wealthiest_people_who_ever_lived,8431866,0.007,0.992,0.0,0.001,2019-04-12T17:24:32Z,24208,"Mansa Musa, one of the wealthiest people who ever lived"
1173,51,4,5,257.4,300.2,0.9,168.77,46.93,157.0,71,397,136,190,j_v_maranto_history_s_deadliest_colors,https://hls.ted.com/project_masters/5567/manifest.m3u8,3,TED-Ed Original,History's deadliest colors,2017-05-22,en,J. V. Maranto,300,https://www.ted.com/talks/j_v_maranto_history_s_deadliest_colors,8422106,0.006,0.993,0.0,0.001,2019-03-01T16:45:53Z,24483,History's deadliest colors
1020,126,3,5,224.2,327.7,0.7,185.72,70.22,171.5,77,423,130,232,jon_bergmann_just_how_small_is_an_atom,https://hls.ted.com/project_masters/4612/manifest.m3u8,3,TED-Ed Original,Just how small is an atom?,2012-04-25,en,Jon Bergmann,327,https://www.ted.com/talks/jon_bergmann_just_how_small_is_an_atom,8421506,0.138,0.841,0.0,0.021,2012-04-25T15:24:02Z,1428,Just how small is an atom?
1087,18,4,4,248.1,259.6,1.0,120.96,41.8,107.6,71,408,95,132,david_lunney_where_does_gold_come_from,https://hls.ted.com/project_masters/4791/manifest.m3u8,3,TED-Ed Original,Where does gold come from?,2015-10-08,en,David Lunney,259,https://www.ted.com/talks/david_lunney_where_does_gold_come_from,8359307,0.007,0.992,0.0,0.001,2019-04-01T18:40:20Z,24262,Where does gold come from?
5921,195,4,5,1245.0,1376.9,0.9,155.77,39.8,150.2,76,415,128,178,philip_zimbardo_the_psychology_of_evil,https://hls.ted.com/project_masters/1435/manifest.m3u8?intro_master_id=9294,1,TED Stage Talk,The psychology of evil,2008-02-02,en,Philip Zimbardo,1376,https://www.ted.com/talks/philip_zimbardo_the_psychology_of_evil,8414844,0.572,0.376,0.003,0.049,2008-09-23T01:00:00Z,272,The psychology of evil
2823,278,4,5,581.9,800.9,0.7,243.58,48.73,238.0,79,423,211,272,brittany_packnett_cunningham_how_to_build_your_confidence_and_spark_it_in_others,https://hls.ted.com/project_masters/500/manifest.m3u8?intro_master_id=9294,1,TED Stage Talk,How to build your confidence -- and spark it in others,2019-04-15,en,Brittany Packnett Cunningham,800,https://www.ted.com/talks/brittany_packnett_cunningham_how_to_build_your_confidence_and_spark_it_in_others,8171113,0.122,0.255,0.509,0.114,2019-05-20T14:51:58Z,41455,How to build your confidence -- and spark it in others
2875,272,3,4,655.5,846.6,0.8,262.26,59.66,259.6,72,424,218,304,julie_lythcott_haims_how_to_raise_successful_kids_without_over_parenting,https://hls.ted.com/project_masters/4007/manifest.m3u8?intro_master_id=9294,1,TED Stage Talk,How to raise successful kids -- without over-parenting,2015-11-01,en,Julie Lythcott-Haims,846,https://www.ted.com/talks/julie_lythcott_haims_how_to_raise_successful_kids_without_over_parenting,8184950,0.273,0.504,0.104,0.119,2016-09-13T15:08:37Z,2582,How to raise successful kids -- without over-parenting
2298,288,3,5,491.0,727.2,0.7,126.58,40.61,117.3,70,416,100,139,chris_anderson_ted_questions_no_one_knows_the_answers_to,https://hls.ted.com/project_masters/4608/manifest.m3u8,3,TED-Ed Original,Questions no one knows the answers to,2012-03-12,en,Chris Anderson (TED),727,https://www.ted.com/talks/chris_anderson_ted_questions_no_one_knows_the_answers_to,29979628,0.033,0.958,0.0,0.009,2012-03-12T19:01:44Z,1386,Questions no one knows the answers to
3791,257,3,4,912.9,1104.8,0.8,267.87,56.83,261.2,65,425,227,306,jill_bolte_taylor_my_stroke_of_insight,https://hls.ted.com/project_masters/1937/manifest.m3u8?intro_master_id=9294,1,TED Stage Talk,My stroke of insight,2008-02-27,en,Jill Bolte Taylor,1104,https://www.ted.com/talks/jill_bolte_taylor_my_stroke_of_insight,30244256,0.605,0.345,0.006,0.044,2008-03-12T01:10:00Z,229,My stroke of insight
3469,385,3,4,814.5,1099.2,0.7,215.82,52.47,207.0,70,424,180,243,lisa_feldman_barrett_you_aren_t_at_the_mercy_of_your_emotions_your_brain_creates_them,https://hls.ted.com/project_masters/3045/manifest.m3u8?intro_master_id=9294,4,TED Institute Talk,You aren't at the mercy of your emotions -- your brain creates them,2017-12-06,en,Lisa Feldman Barrett,1099,https://www.ted.com/talks/lisa_feldman_barrett_you_aren_t_at_the_mercy_of_your_emotions_your_brain_creates_them,8140359,0.202,0.341,0.362,0.095,2018-01-02T20:57:52Z,8419,You aren't at the mercy of your emotions -- your brain creates them
4105,523,4,5,834.1,1153.5,0.7,222.89,50.61,214.2,71,423,188,252,jane_mcgonigal_the_game_that_can_give_you_10_extra_years_of_life,https://hls.ted.com/project_masters/1125/manifest.m3u8?intro_master_id=9294,1,TED Stage Talk,The game that can give you 10 extra years of life,2012-06-28,en,Jane McGonigal,1153,https://www.ted.com/talks/jane_mcgonigal_the_game_that_can_give_you_10_extra_years_of_life,8164515,0.672,0.145,0.027,0.156,2012-07-09T15:02:20Z,1501,The game that can give you 10 extra years of life
2952,340,3,4,689.2,974.1,0.7,175.88,46.63,173.6,73,399,141,207,beau_lotto_optical_illusions_show_how_we_see,https://hls.ted.com/project_masters/1100/manifest.m3u8?intro_master_id=9294,1,TED Stage Talk,Optical illusions show how we see,2009-07-23,en,Beau Lotto,974,https://www.ted.com/talks/beau_lotto_optical_illusions_show_how_we_see,8112599,0.366,0.581,0.006,0.047,2009-10-08T09:05:00Z,653,Optical illusions show how we see
1152,91,4,5,245.6,303.4,0.8,221.83,55.92,212.4,80,423,179,254,kate_messner_how_to_build_a_fictional_world,https://hls.ted.com/project_masters/4733/manifest.m3u8,3,TED-Ed Original,How to build a fictional world,2014-01-09,en,Kate Messner,303,https://www.ted.com/talks/kate_messner_how_to_build_a_fictional_world,7984081,0.013,0.986,0.0,0.001,2019-02-15T17:35:38Z,24019,How to build a fictional world
2841,262,3,4,649.9,890.3,0.7,191.61,38.17,186.5,71,423,169,209,nora_mcinerny_we_don_t_move_on_from_grief_we_move_forward_with_it,https://hls.ted.com/project_masters/441/manifest.m3u8?intro_master_id=9294,1,TED Stage Talk,"Chúng tôi không ""bỏ qua"" nỗi đau. Chúng tôi đi về phía trước cùng nó.",2018-11-28,vi,Nora McInerny,890,https://www.ted.com/talks/nora_mcinerny_we_don_t_move_on_from_grief_we_move_forward_with_it,7972766,0.225,0.243,0.425,0.107,2019-04-09T15:12:12Z,37498,"Chúng tôi không ""bỏ qua"" nỗi đau. Chúng tôi đi về phía trước cùng nó."
1191,38,4,4,288.1,310.5,0.9,164.95,45.46,158.7,70,403,133,192,brian_a_pavlac_what_really_happened_during_the_salem_witch_trials,https://hls.ted.com/project_masters/5203/manifest.m3u8,3,TED-Ed Original,What really happened during the Salem Witch Trials,2020-05-04,en,Brian A. Pavlac,310,https://www.ted.com/talks/brian_a_pavlac_what_really_happened_during_the_salem_witch_trials,7905170,0.021,0.966,0.0,0.013,2020-05-04T15:12:35Z,62865,What really happened during the Salem Witch Trials
3853,220,3,4,999.5,1121.9,0.9,133.78,34.56,126.0,71,406,112,147,mihaly_csikszentmihalyi_flow_the_secret_to_happiness,https://hls.ted.com/project_masters/2094/manifest.m3u8?intro_master_id=9294,1,TED Stage Talk,"Flow, the secret to happiness",2004-02-29,en,Mihaly Csikszentmihalyi,1121,https://www.ted.com/talks/mihaly_csikszentmihalyi_flow_the_secret_to_happiness,7905983,0.714,0.16,0.005,0.121,2008-10-23T01:00:00Z,366,"Flow, the secret to happiness"
1443,13,5,5,298.7,305.9,1.0,175.91,56.05,160.5,60,416,133,219,shannon_odell_do_you_really_need_to_take_10_000_steps_a_day,https://hls.ted.com/project_masters/9751/manifest.m3u8,3,TED-Ed Original,"Do you really need to take 10,000 steps a day?",2025-01-02,en,Shannon Odell,305,https://www.ted.com/talks/shannon_odell_do_you_really_need_to_take_10_000_steps_a_day,7900229,0.002,0.995,0.003,0.0,2025-01-02T16:04:53Z,141920,"Do you really need to take 10,000 steps a day?"
3865,336,4,5,786.4,983.0,0.8,162.26,35.96,156.8,71,400,139,182,james_bridle_the_nightmare_videos_of_children_s_youtube_and_what_s_wrong_with_the_internet_today,https://hls.ted.com/project_masters/4067/manifest.m3u8?intro_master_id=9294,1,TED Stage Talk,The nightmare videos of children's YouTube -- and what's wrong with the internet today,2018-04-10,en,James Bridle,982,https://www.ted.com/talks/james_bridle_the_nightmare_videos_of_children_s_youtube_and_what_s_wrong_with_the_internet_today,7898179,0.054,0.757,0.148,0.041,2018-06-22T14:50:41Z,18469,The nightmare videos of children's YouTube -- and what's wrong with the internet today
1504,110,3,4,382.5,463.0,0.8,120.85,43.36,109.4,70,400,93,134,alex_gendler_the_myth_of_hercules,https://hls.ted.com/project_masters/4864/manifest.m3u8,3,TED-Ed Original,The myth of Hercules,2018-09-25,en,Alex Gendler,462,https://www.ted.com/talks/alex_gendler_the_myth_of_hercules,7891963,0.036,0.963,0.0,0.001,2018-09-25T20:53:02Z,21650,The myth of Hercules
1934,269,3,5,399.8,707.0,0.6,158.37,46.53,148.3,80,400,126,181,shane_koyczan_to_this_day_for_the_bullied_and_beautiful,https://hls.ted.com/project_masters/2300/manifest.m3u8?intro_master_id=9294,1,TED Stage Talk,To This Day ... for the bullied and beautiful,2013-02-28,en,Shane Koyczan,706,https://www.ted.com/talks/shane_koyczan_to_this_day_for_the_bullied_and_beautiful,7890440,0.337,0.541,0.038,0.084,2013-03-08T16:01:43Z,1687,To This Day ... for the bullied and beautiful
986,77,3,4,243.5,310.7,0.8,115.24,35.67,104.3,70,413,93,130,andrew_zimmerman_jones_does_time_exist,https://hls.ted.com/project_masters/4895/manifest.m3u8,3,TED-Ed Original,Does time exist?,2018-10-23,en,Andrew Zimmerman Jones,310,https://www.ted.com/talks/andrew_zimmerman_jones_does_time_exist,7864447,0.027,0.967,0.0,0.006,2018-10-23T18:16:57Z,26263,Does time exist?
4084,466,4,5,744.9,1057.7,0.7,183.55,40.79,177.9,70,399,154,207,scott_dinsmore_how_to_find_work_you_love,https://hls.ted.com/project_masters/2541/manifest.m3u8?intro_master_id=9294,2,TEDx Talk,How to find work you love,2012-10-10,en,Scott Dinsmore,1057,https://www.ted.com/talks/scott_dinsmore_how_to_find_work_you_love,7868323,0.487,0.135,0.148,0.23,2015-09-18T15:03:12Z,2332,How to find work you love
1013,75,4,4,238.8,286.8,0.8,117.64,36.85,107.0,71,398,92,133,brian_christian_how_to_manage_your_time_more_effectively_according_to_machines,https://hls.ted.com/project_masters/5127/manifest.m3u8,3,TED-Ed Original,How to manage your time more effectively (according to machines),2018-01-02,en,Brian Christian,286,https://www.ted.com/talks/brian_christian_how_to_manage_your_time_more_effectively_according_to_machines,7835977,0.038,0.95,0.0,0.012,2020-01-16T20:17:44Z,24556,How to manage your time more effectively (according to machines)
3933,267,4,4,897.4,1042.6,0.9,124.03,22.6,120.1,72,400,110,134,john_wooden_the_difference_between_winning_and_succeeding,https://hls.ted.com/project_masters/1424/manifest.m3u8?intro_master_id=9294,1,TED Stage Talk,The difference between winning and succeeding,2001-02-01,en,John Wooden,1042,https://www.ted.com/talks/john_wooden_the_difference_between_winning_and_succeeding,7835612,0.526,0.378,0.015,0.081,2009-03-26T01:00:00Z,498,The difference between winning and succeeding
1398,38,4,5,306.0,329.9,0.9,127.02,63.34,101.1,70,424,89,144,shai_marcu_the_benefits_of_a_good_night_s_sleep,https://hls.ted.com/project_masters/4590/manifest.m3u8,3,TED-Ed Original,The benefits of a good night's sleep,2015-01-05,en,Shai Marcu,329,https://www.ted.com/talks/shai_marcu_the_benefits_of_a_good_night_s_sleep,7814813,0.094,0.896,0.0,0.01,2017-09-07T20:36:23Z,2753,The benefits of a good night's sleep
3754,525,3,5,820.6,1214.0,0.7,150.36,25.0,148.9,71,399,135,163,andrew_solomon_how_the_worst_moments_in_our_lives_make_us_who_we_are,https://hls.ted.com/project_masters/1869/manifest.m3u8?intro_master_id=9294,1,TED Stage Talk,How the worst moments in our lives make us who we are,2014-03-12,en,Andrew Solomon,1213,https://www.ted.com/talks/andrew_solomon_how_the_worst_moments_in_our_lives_make_us_who_we_are,7822492,0.344,0.381,0.093,0.182,2014-05-21T15:03:55Z,2005,How the worst moments in our lives make us who we are
2921,422,3,5,628.1,899.2,0.7,216.95,52.01,210.5,70,421,179,249,adam_galinsky_how_to_speak_up_for_yourself,https://hls.ted.com/project_masters/2716/manifest.m3u8?intro_master_id=9294,2,TEDx Talk,How to speak up for yourself,2016-09-10,en,Adam Galinsky,899,https://www.ted.com/talks/adam_galinsky_how_to_speak_up_for_yourself,7762381,0.278,0.127,0.385,0.21,2016-11-23T16:17:34Z,2631,How to speak up for yourself
4715,387,4,5,920.7,1212.5,0.8,185.06,51.35,176.2,72,422,150,210,dan_ariely_what_makes_us_feel_good_about_our_work,https://hls.ted.com/project_masters/724/manifest.m3u8?intro_master_id=9294,2,TEDx Talk,What makes us feel good about our work?,2012-10-24,en,Dan Ariely,1212,https://www.ted.com/talks/dan_ariely_what_makes_us_feel_good_about_our_work,7762769,0.601,0.143,0.08,0.176,2013-04-10T14:59:59Z,1706,What makes us feel good about our work?
4322,106,4,4,1006.1,1065.0,0.9,143.4,38.9,137.0,70,400,121,161,jon_ronson_strange_answers_to_the_psychopath_test,https://hls.ted.com/project_masters/6118/manifest.m3u8?intro_master_id=9294,1,TED Stage Talk,Strange answers to the psychopath test,2012-03-01,en,Jon Ronson,1064,https://www.ted.com/talks/jon_ronson_strange_answers_to_the_psychopath_test,29899572,0.091,0.848,0.035,0.026,2012-08-15T15:18:05Z,1544,Strange answers to the psychopath test
4448,3,4,4,1199.5,1202.2,1.0,114.55,32.84,107.5,72,403,98,120,david_blaine_how_i_held_my_breath_for_17_minutes,https://hls.ted.com/project_masters/767/manifest.m3u8?intro_master_id=9294,1,TED Stage Talk,How I held my breath for 17 minutes,2009-10-27,en,David Blaine,1202,https://www.ted.com/talks/david_blaine_how_i_held_my_breath_for_17_minutes,29392192,0.121,0.864,0.001,0.014,2010-01-19T08:22:00Z,741,How I held my breath for 17 minutes
944,87,4,4,210.6,257.7,0.8,115.47,40.84,102.7,77,405,92,127,alex_gendler_plato_s_allegory_of_the_cave,https://hls.ted.com/project_masters/8891/manifest.m3u8,3,TED-Ed Original,Plato's Allegory of the Cave,2015-03-17,en,Alex Gendler,257,https://www.ted.com/talks/alex_gendler_plato_s_allegory_of_the_cave,7715636,0.001,0.999,0.0,0.0,2024-09-10T22:34:09Z,24184,Plato's Allegory of the Cave
1375,63,4,5,300.7,335.7,0.9,120.41,38.11,108.3,72,390,95,134,skye_c_cleary_why_do_we_love_a_philosophical_inquiry,https://hls.ted.com/project_masters/5562/manifest.m3u8,3,TED-Ed Original,Why do we love? A philosophical inquiry,2016-02-11,en,Skye C. Cleary,335,https://www.ted.com/talks/skye_c_cleary_why_do_we_love_a_philosophical_inquiry,7706459,0.049,0.933,0.0,0.018,2019-03-15T17:12:28Z,24306,Why do we love? A philosophical inquiry
3791,199,4,5,830.1,936.6,0.9,211.65,42.83,204.1,70,420,183,234,helen_fisher_the_brain_in_love,https://hls.ted.com/project_masters/2318/manifest.m3u8?intro_master_id=9294,1,TED Stage Talk,Creierul îndrăgostiților,2008-02-02,ro,Helen Fisher,936,https://www.ted.com/talks/helen_fisher_the_brain_in_love,7687279,0.571,0.264,0.006,0.159,2008-07-15T01:00:00Z,307,Creierul îndrăgostiților
1546,130,4,5,334.5,395.9,0.8,180.22,53.51,171.9,72,411,139,211,dan_gilbert_the_psychology_of_your_future_self,https://hls.ted.com/project_masters/2367/manifest.m3u8?intro_master_id=9294,1,TED Stage Talk,The psychology of your future self,2014-03-18,en,Dan Gilbert,395,https://www.ted.com/talks/dan_gilbert_the_psychology_of_your_future_self,7672668,0.358,0.113,0.397,0.132,2014-06-03T14:56:03Z,2012,The psychology of your future self
4092,363,4,5,794.9,1061.2,0.7,153.41,34.06,148.9,70,409,131,171,simon_anholt_which_country_does_the_most_good_for_the_world,https://hls.ted.com/project_masters/1455/manifest.m3u8?intro_master_id=9294,1,TED Stage Talk,Which country does the most good for the world?,2014-06-23,en,Simon Anholt,1061,https://www.ted.com/talks/simon_anholt_which_country_does_the_most_good_for_the_world,7675460,0.171,0.693,0.049,0.087,2014-07-02T14:58:54Z,2036,Which country does the most good for the world?
859,71,4,5,186.6,238.4,0.8,113.02,32.01,103.2,71,398,90,129,lisa_winer_can_you_solve_the_river_crossing_riddle,https://hls.ted.com/project_masters/4825/manifest.m3u8,3,TED-Ed Original,Can you solve the river crossing riddle?,2016-11-01,en,Lisa Winer,238,https://www.ted.com/talks/lisa_winer_can_you_solve_the_river_crossing_riddle,7629368,0.006,0.994,0.0,0.0,2019-03-01T16:39:16Z,24405,Can you solve the river crossing riddle?
3462,264,3,4,864.2,1007.7,0.9,190.63,48.32,185.6,68,409,154,224,seth_godin_how_to_get_your_ideas_to_spread,https://hls.ted.com/project_masters/1600/manifest.m3u8?intro_master_id=9294,1,TED Stage Talk,How to get your ideas to spread,2003-02-27,en,Seth Godin,1007,https://www.ted.com/talks/seth_godin_how_to_get_your_ideas_to_spread,7640662,0.537,0.313,0.017,0.133,2007-04-05T00:11:00Z,28,How to get your ideas to spread
1042,67,4,5,221.0,259.0,0.9,108.01,29.16,98.3,73,394,89,119,dawn_maslar_the_science_of_attraction,https://hls.ted.com/project_masters/5550/manifest.m3u8,3,TED-Ed Original,The science of attraction,2014-05-08,en,Dawn Maslar,259,https://www.ted.com/talks/dawn_maslar_the_science_of_attraction,7611041,0.036,0.96,0.0,0.004,2019-03-08T19:11:48Z,24067,The science of attraction
1107,15,4,4,285.3,302.1,0.9,128.36,42.0,123.5,72,400,108,136,iseult_gillespie_the_tale_of_the_doctor_who_defied_death,https://hls.ted.com/project_masters/5149/manifest.m3u8,3,TED-Ed Original,The tale of the doctor who defied Death,2020-03-12,en,Iseult Gillespie,302,https://www.ted.com/talks/iseult_gillespie_the_tale_of_the_doctor_who_defied_death,7605941,0.009,0.989,0.0,0.002,2020-03-12T15:44:39Z,60411,The tale of the doctor who defied Death
3156,352,3,5,614.0,914.2,0.7,135.63,32.59,128.7,72,400,117,146,maurice_conti_the_incredible_inventions_of_intuitive_ai,https://hls.ted.com/project_masters/4033/manifest.m3u8?intro_master_id=9294,2,TEDx Talk,The incredible inventions of intuitive AI,2016-04-09,en,Maurice Conti,914,https://www.ted.com/talks/maurice_conti_the_incredible_inventions_of_intuitive_ai,7562674,0.083,0.757,0.111,0.049,2017-02-06T15:48:32Z,2671,The incredible inventions of intuitive AI
4636,523,3,4,1092.8,1408.3,0.8,110.74,34.3,101.3,70,419,91,118,martin_seligman_the_new_era_of_positive_psychology,https://hls.ted.com/project_masters/1289/manifest.m3u8?intro_master_id=9294,1,TED Stage Talk,The new era of positive psychology,2004-02-02,en,Martin Seligman,1408,https://www.ted.com/talks/martin_seligman_the_new_era_of_positive_psychology,7588096,0.655,0.226,0.043,0.076,2008-07-21T07:28:00Z,312,The new era of positive psychology
3602,360,3,4,869.4,1120.2,0.8,148.16,35.89,142.7,68,398,124,166,don_tapscott_how_the_blockchain_is_changing_money_and_business,https://hls.ted.com/project_masters/2673/manifest.m3u8?intro_master_id=9294,1,TED Stage Talk,How the blockchain is changing money and business,2016-06-28,en,Don Tapscott,1120,https://www.ted.com/talks/don_tapscott_how_the_blockchain_is_changing_money_and_business,7509544,0.143,0.687,0.107,0.063,2016-08-25T14:55:46Z,2573,How the blockchain is changing money and business
4743,470,3,5,998.4,1369.8,0.7,139.13,40.15,129.0,70,421,114,151,sam_harris_science_can_answer_moral_questions,https://hls.ted.com/project_masters/969/manifest.m3u8?intro_master_id=9294,1,TED Stage Talk,Science can answer moral questions,2010-02-11,en,Sam Harris,1369,https://www.ted.com/talks/sam_harris_science_can_answer_moral_questions,7513393,0.273,0.494,0.196,0.037,2010-03-22T09:13:00Z,801,Science can answer moral questions
3530,332,4,5,716.8,976.1,0.7,245.62,57.18,240.6,73,424,203,283,lori_gottlieb_how_changing_your_story_can_change_your_life,https://hls.ted.com/project_masters/6158/manifest.m3u8?intro_master_id=9294,4,TED Institute Talk,How changing your story can change your life,2019-09-12,en,Lori Gottlieb,976,https://www.ted.com/talks/lori_gottlieb_how_changing_your_story_can_change_your_life,7484364,0.093,0.524,0.309,0.074,2019-11-01T15:00:48Z,50856,How changing your story can change your life
3835,200,3,4,977.9,1123.2,0.9,155.79,57.77,139.7,70,421,113,183,ze_frank_nerdcore_comedy,https://hls.ted.com/project_masters/2309/manifest.m3u8?intro_master_id=9294,1,TED Stage Talk,Nerdcore comedy,2004-02-24,en,Ze Frank,1123,https://www.ted.com/talks/ze_frank_nerdcore_comedy,7495301,0.632,0.276,0.003,0.089,2006-08-25T00:11:00Z,87,Nerdcore comedy
1166,36,4,4,267.7,286.6,0.9,115.79,38.49,103.6,71,400,95,128,damion_searls_how_does_the_rorschach_inkblot_test_work,https://hls.ted.com/project_masters/4951/manifest.m3u8,3,TED-Ed Original,How does the Rorschach inkblot test work?,2019-03-11,en,Damion Searls,286,https://www.ted.com/talks/damion_searls_how_does_the_rorschach_inkblot_test_work,7435254,0.022,0.975,0.0,0.003,2019-03-05T18:59:06Z,35386,How does the Rorschach inkblot test work?
4972,329,4,5,1094.2,1290.8,0.8,164.3,45.64,157.9,66,413,132,190,brian_greene_is_our_universe_the_only_universe,https://hls.ted.com/project_masters/948/manifest.m3u8?intro_master_id=9294,1,TED Stage Talk,Is our universe the only universe?,2012-02-27,en,Brian Greene,1290,https://www.ted.com/talks/brian_greene_is_our_universe_the_only_universe,7474814,0.204,0.667,0.03,0.099,2012-04-23T15:19:03Z,1426,Is our universe the only universe?
960,72,4,5,206.5,257.3,0.8,112.99,30.39,104.1,72,390,91,130,judd_a_schorr_can_you_solve_the_airplane_riddle,https://hls.ted.com/project_masters/4826/manifest.m3u8,3,TED-Ed Original,Can you solve the airplane riddle?,2016-12-01,en,Judd A. Schorr,257,https://www.ted.com/talks/judd_a_schorr_can_you_solve_the_airplane_riddle,7433423,0.006,0.993,0.0,0.001,2019-02-15T17:42:28Z,24416,Can you solve the airplane riddle?
